snr_db,crc_rate_ls,crc_rate_mmse,trials,frames_attempted_ls,frames_ok_ls,frames_attempted_mmse,frames_ok_mmse
-5.0,0.0,0.0,10,0,0,0,0
-3.0,0.0,0.0,10,0,0,0,0
-1.0,0.0,0.0,10,0,0,0,0
1.0,0.0,0.0,10,0,0,0,0
3.0,0.0,0.0,10,0,0,0,0
5.0,0.0,0.0,10,0,0,0,0
7.0,0.6666666666666666,0.6666666666666666,10,3,2,3,2
9.0,0.6666666666666666,0.6666666666666666,10,9,6,9,6
11.0,0.9,0.9,10,10,9,10,9
13.0,1.0,1.0,10,10,10,10,10
15.0,0.9,0.9,10,10,9,10,9
17.0,1.0,1.0,10,10,10,10,10
19.0,1.0,1.0,10,10,10,10,10
21.0,1.0,1.0,10,10,10,10,10
23.0,1.0,1.0,10,10,10,10,10
25.0,1.0,1.0,10,10,10,10,10
